date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:08	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Sep%202025%2008:33:20%20GMT	https://tesla-website-redesigned.vercel.app/robots.txt		(from )
10:33:08	34841/34841	---MCZ	200	added ('OK')	text/html	etag:W/%22b5b4bfd8470c95980ad9ff38e7984485%22	https://tesla-website-redesigned.vercel.app/	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/index.html	(from )
10:33:08	31471/31471	---MCZ	200	added ('OK')	text/css	etag:W/%2263973ebee5b6bc123e6ffc4f79aa30ea%22	https://tesla-website-redesigned.vercel.app/style.css	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/style.css	(from https://tesla-website-redesigned.vercel.app/)
10:33:08	39100/39100	---M--	200	added ('OK')	image/png	etag:%2248c332fd4fe3b2f7e1ac783570c69719%22	https://tesla-website-redesigned.vercel.app/Assets/media/images/tesla.png	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/Assets/media/images/tesla.png	(from https://tesla-website-redesigned.vercel.app/)
10:33:09	140913/140913	---M-Z	200	added ('OK')	text/css	etag:W/%2222671-k1y8Ek8KATz1lz8BY0mFV3PqF4E%22	https://cdn.jsdelivr.net/npm/remixicon@4.3.0/fonts/remixicon.css	C:/My%20Web%20Sites/dannysofficialdesign/cdn.jsdelivr.net/npm/remixicon@4.3.0/fonts/remixicon.css	(from https://tesla-website-redesigned.vercel.app/)
10:33:09	1048/1048	---M-Z	200	added ('OK')	text/css	etag:W/%22418-Hw0qmsqoMA8KBwmAyLQU8TSFEz4%22	https://cdn.jsdelivr.net/npm/locomotive-scroll@3.5.4/dist/locomotive-scroll.css	C:/My%20Web%20Sites/dannysofficialdesign/cdn.jsdelivr.net/npm/locomotive-scroll@3.5.4/dist/locomotive-scroll.css	(from https://tesla-website-redesigned.vercel.app/)
10:33:09	365681/365681	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Sep%202025%2018:18:46%20GMT	https://unpkg.com/tailwindcss-cdn@3.4.3/tailwindcss.js	C:/My%20Web%20Sites/dannysofficialdesign/unpkg.com/tailwindcss-cdn@3.4.3/tailwindcss.js	(from https://tesla-website-redesigned.vercel.app/)
10:33:10	714/714	---M--	200	added ('OK')	image/svg+xml	etag:%22c7caa57d39d03c175b40359d69458129%22	https://tesla-website-redesigned.vercel.app/Assets/media/images/tesla-svgrepo-com.svg	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/Assets/media/images/tesla-svgrepo-com.svg	(from https://tesla-website-redesigned.vercel.app/)
10:33:10	38746/38746	---M--	200	added ('OK')	image/avif	etag:%221cdcad80dd72e1a429eee764483e2e02%22	https://tesla-website-redesigned.vercel.app/Assets/media/images/s1.avif	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/Assets/media/images/s1.avif	(from https://tesla-website-redesigned.vercel.app/)
10:33:11	71534/71534	---M--	200	added ('OK')	image/avif	etag:%22811324930d6da514b69b466ede93cf60%22	https://tesla-website-redesigned.vercel.app/Assets/media/images/s2.avif	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/Assets/media/images/s2.avif	(from https://tesla-website-redesigned.vercel.app/)
10:33:11	34381/34381	---M--	200	added ('OK')	image/avif	etag:%225a9e04724f7114067c49f4e124f34c4b%22	https://tesla-website-redesigned.vercel.app/Assets/media/images/my1.avif	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/Assets/media/images/my1.avif	(from https://tesla-website-redesigned.vercel.app/)
10:33:12	37481/37481	---M--	200	added ('OK')	image/avif	etag:%22e69c554ccefc735a141681991f25beda%22	https://tesla-website-redesigned.vercel.app/Assets/media/images/my2.avif	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/Assets/media/images/my2.avif	(from https://tesla-website-redesigned.vercel.app/)
10:33:12	10096665/10096665	---M--	200	added ('OK')	video/mp4	etag:%22fade33c9f313201899d573a770f68861%22	https://tesla-website-redesigned.vercel.app/Assets/media/videos/landing.mp4	C:/My%20Web%20Sites/dannysofficialdesign/tesla-website-redesigned.vercel.app/Assets/media/videos/landing.mp4	(from https://tesla-website-redesigned.vercel.app/)
